;Unnamed: 0;Value;tweet;cleaning;tweet_tokens;tweet_stopwords;normalization;text_stemming;category
10;10;Negatif;waktu itu gue pernah ke mol, mau ngescan aplikasi PeduliLindungi malah gabisa njrit malu bgt mana di depan orang ð¢;waktu itu gue pernah ke mol mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang;['waktu', 'itu', 'gue', 'pernah', 'ke', 'mol', 'mau', 'ngescan', 'aplikasi', 'pedulilindungi', 'malah', 'gabisa', 'njrit', 'malu', 'bgt', 'mana', 'di', 'depan', 'orang'];['gue', 'mol', 'ngescan', 'aplikasi', 'pedulilindungi', 'gabisa', 'njrit', 'malu'];gue mol ngescan aplikasi pedulilindungi enggak bisa njrit malu;gue mol ngescan aplikasi pedulilindungi enggak bisa njrit malu;0
11;11;Negatif;w abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah RS dan rumahð¥²ðð¥²ð; abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumah;['abis', 'balik', 'jkt', 'blm', 'pake', 'peduli', 'lindungi', 'samsek', 'yg', 'artinya', 'kehidupan', 'hanyalah', 'rs', 'dan', 'rumah'];['abis', 'jkt', 'pake', 'peduli', 'lindungi', 'samsek', 'kehidupan', 'rs', 'rumah'];habis jakarta pakai peduli lindungi samsek kehidupan rs rumah;habis jakarta pakai peduli lindung samsek hidup rs rumah;0
12;12;Negatif;Vaksinnya atau sertifikat nya? Sedangkan sy kasih kartu vaksinnya security gamau trima. Gue bilang blm dpt sertifikat nya dia gamau tau, itu anda gak boleh masuk Mall katanya. Terus sy harus ngadu kemana dong pak/bu @PLindungi solusinya apaaaa?;vaksinnya atau sertifikat nya sedangkan sy kasih kartu vaksinnya security gamau trima gue bilang blm dpt sertifikat nya dia gamau tau itu anda gak boleh masuk mall katanya terus sy harus ngadu kemana dong pakbu solusinya apaaaa;['vaksinnya', 'atau', 'sertifikat', 'nya', 'sedangkan', 'sy', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'bilang', 'blm', 'dpt', 'sertifikat', 'nya', 'dia', 'gamau', 'tau', 'itu', 'anda', 'gak', 'boleh', 'masuk', 'mall', 'katanya', 'terus', 'sy', 'harus', 'ngadu', 'kemana', 'dong', 'pakbu', 'solusinya', 'apaaaa'];['vaksinnya', 'sertifikat', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'sertifikat', 'gamau', 'mall', 'ngadu', 'kemana', 'pakbu', 'solusinya', 'apaaaa'];vaksinnya sertifikat kasih kartu vaksinnya security enggak mau terima gue sertifikat enggak mau mall mengadu kemana pakbu solusinya apaaaa;vaksin sertifikat kasih kartu vaksin security enggak mau terima gue sertifikat enggak mau mall adu mana pakbu solusi apaaaa;0
13;13;Negatif;Vaksin pertama tidak terdaftar di peduli lindungi Vaksin kedua lompat rono lompat rene, ealah ð;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene ealah;['vaksin', 'pertama', 'tidak', 'terdaftar', 'di', 'peduli', 'lindungi', 'vaksin', 'kedua', 'lompat', 'rono', 'lompat', 'rene', 'ealah'];['vaksin', 'terdaftar', 'peduli', 'lindungi', 'vaksin', 'lompat', 'rono', 'lompat', 'rene'];vaksin terdaftar peduli lindungi vaksin lompat rono lompat rene;vaksin daftar peduli lindung vaksin lompat rono lompat rene;0
14;14;Negatif;Unsr! Gaes mau tanya klo ikut tes suliet kan pke sertif vaksin, klo sy sdh vaksin tp sertif dk pck dibuka krn akun PeduliLindungi eror. Ad saran dk yo?;unsr gaes mau tanya klo ikut tes suliet kan pke sertif vaksin klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror ad saran dk yo;['unsr', 'gaes', 'mau', 'tanya', 'klo', 'ikut', 'tes', 'suliet', 'kan', 'pke', 'sertif', 'vaksin', 'klo', 'sy', 'sdh', 'vaksin', 'tp', 'sertif', 'dk', 'pck', 'dibuka', 'krn', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk', 'yo'];['unsr', 'tes', 'suliet', 'pke', 'sertif', 'vaksin', 'vaksin', 'sertif', 'dk', 'pck', 'dibuka', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk'];unsr tes suliet pakai sertif vaksin vaksin sertif dk pck dibuka akun pedulilindungi eror ada saran dk;unsr tes suliet pakai sertif vaksin vaksin sertif dk pck buka akun pedulilindungi eror ada saran dk;0
15;15;Negatif;Uninstall PeduliLindungi  Install PeduliSetan;uninstall pedulilindungi install pedulisetan;['uninstall', 'pedulilindungi', 'install', 'pedulisetan'];['uninstall', 'pedulilindungi', 'install', 'pedulisetan'];uninstall pedulilindungi install pedulisetan;uninstall pedulilindungi install pedulisetan;0
16;16;Negatif;uninstall pedulilindungi;uninstall pedulilindungi;['uninstall', 'pedulilindungi'];['uninstall', 'pedulilindungi'];uninstall pedulilindungi;uninstall pedulilindungi;0
17;17;Negatif;Udh vaksin 2 kali tapi sertifikat yg kedua belum keluar, tolonglahhh kerjasamanya @PLindungi @pedulilindungi;udh vaksin kali tapi sertifikat yg kedua belum keluar tolonglahhh kerjasamanya;['udh', 'vaksin', 'kali', 'tapi', 'sertifikat', 'yg', 'kedua', 'belum', 'keluar', 'tolonglahhh', 'kerjasamanya'];['udh', 'vaksin', 'sertifikat', 'tolonglahhh', 'kerjasamanya'];sudah vaksin sertifikat tolonglahhh kerjasamanya;sudah vaksin sertifikat tolonglahhh kerjasamanya;0
18;18;Negatif;Udh kirim email ke @PLindungi soal sertifikat vaksin kedua yg belum muncul2 padahal udh vaksin dari tanggal 18 agustus. Pagi ini dpt sms lgi malahan sertifikat vaksin pertama. Kan yg gk ada duh sertifikat keduaaa, knpa jdi pertama lgi yg di kirimm????;udh kirim email ke soal sertifikat vaksin kedua yg belum muncul padahal udh vaksin dari tanggal agustus pagi ini dpt sms lgi malahan sertifikat vaksin pertama kan yg gk ada duh sertifikat keduaaa knpa jdi pertama lgi yg di kirimm;['udh', 'kirim', 'email', 'ke', 'soal', 'sertifikat', 'vaksin', 'kedua', 'yg', 'belum', 'muncul', 'padahal', 'udh', 'vaksin', 'dari', 'tanggal', 'agustus', 'pagi', 'ini', 'dpt', 'sms', 'lgi', 'malahan', 'sertifikat', 'vaksin', 'pertama', 'kan', 'yg', 'gk', 'ada', 'duh', 'sertifikat', 'keduaaa', 'knpa', 'jdi', 'pertama', 'lgi', 'yg', 'di', 'kirimm'];['udh', 'kirim', 'email', 'sertifikat', 'vaksin', 'muncul', 'udh', 'vaksin', 'tanggal', 'agustus', 'pagi', 'sms', 'lgi', 'sertifikat', 'vaksin', 'sertifikat', 'keduaaa', 'knpa', 'lgi', 'kirimm'];sudah kirim email sertifikat vaksin muncul sudah vaksin tanggal agustus pagi sms lagi sertifikat vaksin sertifikat keduaaa kenapa lagi kirimm;sudah kirim email sertifikat vaksin muncul sudah vaksin tanggal agustus pagi sms lagi sertifikat vaksin sertifikat keduaaa kenapa lagi kirimm;0
19;19;Negatif;Udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;['udh', 'gitu', 'sekarang', 'kaga', 'usah', 'tuh', 'scan', 'peduli', 'lindungi', 'lg', 'yhaaa'];['udh', 'kaga', 'scan', 'peduli', 'lindungi', 'yhaaa'];sudah kagak scan peduli lindungi ya;sudah kagak scan peduli lindung ya;0
20;20;Negatif;Udah pada install aplikasi PeduliLindungi kan? Kalau belum, buruan install gih.  Soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini  #wisatajagaprokes;udah pada install aplikasi pedulilindungi kan kalau belum buruan install gih soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini;['udah', 'pada', 'install', 'aplikasi', 'pedulilindungi', 'kan', 'kalau', 'belum', 'buruan', 'install', 'gih', 'soalnya', 'kalau', 'mau', 'masuk', 'tempat', 'wisata', 'wajib', 'menggunakan', 'aplikasi', 'ini'];['install', 'aplikasi', 'pedulilindungi', 'buruan', 'install', 'wisata', 'wajib', 'aplikasi'];install aplikasi pedulilindungi buruan install wisata wajib aplikasi;install aplikasi pedulilindungi buru install wisata wajib aplikasi;0
21;21;Negatif;Udah nge install peduli lindungi,tapi ko tetep aja ya ngerasa ga di peduliin;udah nge install peduli lindungitapi ko tetep aja ya ngerasa ga di peduliin;['udah', 'nge', 'install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'aja', 'ya', 'ngerasa', 'ga', 'di', 'peduliin'];['install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'ngerasa', 'peduliin'];install peduli lindungitapi kok tetap merasa mempedulikan;install peduli lindungitapi kok tetap rasa peduli;0
22;22;Negatif;Udah klaim sendiri sertifikat nya (padahal harusnya auto ke input ga sih) tapi kok status di pedulilindungi masih merah? Ada sertifikat tapi status merah, lucuð­  @PLindungi  https://t.co/1MYVvns2vs;udah klaim sendiri sertifikat nya padahal harusnya auto ke input ga sih tapi kok status di pedulilindungi masih merah ada sertifikat tapi status merah lucu;['udah', 'klaim', 'sendiri', 'sertifikat', 'nya', 'padahal', 'harusnya', 'auto', 'ke', 'input', 'ga', 'sih', 'tapi', 'kok', 'status', 'di', 'pedulilindungi', 'masih', 'merah', 'ada', 'sertifikat', 'tapi', 'status', 'merah', 'lucu'];['klaim', 'sertifikat', 'auto', 'input', 'status', 'pedulilindungi', 'merah', 'sertifikat', 'status', 'merah', 'lucu'];klaim sertifikat auto input status pedulilindungi merah sertifikat status merah lucu;klaim sertifikat auto input status pedulilindungi merah sertifikat status merah lucu;0
23;23;Negatif;Udah faksin pertama astra 2 bulan yg lalu smpe skrg aku udh chek di aplikasi @PLindungi kok blum ada sertifikat vaksin itu kenapa ya kira kira;udah faksin pertama astra bulan yg lalu smpe skrg aku udh chek di aplikasi kok blum ada sertifikat vaksin itu kenapa ya kira kira;['udah', 'faksin', 'pertama', 'astra', 'bulan', 'yg', 'lalu', 'smpe', 'skrg', 'aku', 'udh', 'chek', 'di', 'aplikasi', 'kok', 'blum', 'ada', 'sertifikat', 'vaksin', 'itu', 'kenapa', 'ya', 'kira', 'kira'];['faksin', 'astra', 'smpe', 'udh', 'chek', 'aplikasi', 'blum', 'sertifikat', 'vaksin'];faksin astra sampai sudah chek aplikasi belum sertifikat vaksin;faksin astra sampai sudah chek aplikasi belum sertifikat vaksin;0
24;24;Negatif;Udah 2hr ya ini masa iya blm bisa, sistem loh ini! Kecerobohan input NIK Vaksin, sangat merugikan pemilik NIK! @PLindungi;udah hr ya ini masa iya blm bisa sistem loh ini kecerobohan input nik vaksin sangat merugikan pemilik nik;['udah', 'hr', 'ya', 'ini', 'masa', 'iya', 'blm', 'bisa', 'sistem', 'loh', 'ini', 'kecerobohan', 'input', 'nik', 'vaksin', 'sangat', 'merugikan', 'pemilik', 'nik'];['sistem', 'kecerobohan', 'input', 'nik', 'vaksin', 'merugikan', 'pemilik', 'nik'];sistem kecerobohan input nik vaksin merugikan pemilik nik;sistem ceroboh input nik vaksin rugi milik nik;0
25;25;Negatif;"Uda lari-lari trs pas mau naik, pintu keretanya ketutup gara2 scan apk PeduliLindungi dulu is another ""ANJIIIIING"" ð";uda larilari trs pas mau naik pintu keretanya ketutup gara scan apk pedulilindungi dulu is another anjiiiiing;['uda', 'larilari', 'trs', 'pas', 'mau', 'naik', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'dulu', 'is', 'another', 'anjiiiiing'];['uda', 'larilari', 'trs', 'pas', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'another', 'anjiiiiing'];sudah larilari terus pas pintu keretanya ketutup gara scan apk pedulilindungi another anjiiiiing;sudah larilari terus pas pintu kereta tutup gara scan apk pedulilindungi another anjiiiiing;0
26;26;Negatif;trus ternyata dah telat anjirð­ pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit ð®ââï¸: sok atu download dulu ð§: gabisa pa memorinya abisð­ ð®ââï¸: ....;trus ternyata dah telat anjir pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit sok atu download dulu gabisa pa memorinya abis;['trus', 'ternyata', 'dah', 'telat', 'anjir', 'pa', 'satpam', 'minta', 'scan', 'pedulilindungi', 'pula', 'kan', 'memori', 'aing', 'ga', 'cukup', 'anjrit', 'sok', 'atu', 'download', 'dulu', 'gabisa', 'pa', 'memorinya', 'abis'];['telat', 'anjir', 'pa', 'satpam', 'scan', 'pedulilindungi', 'memori', 'anjrit', 'sok', 'atu', 'download', 'gabisa', 'pa', 'memorinya', 'abis'];telat anjir apa satpam scan pedulilindungi memori anjrit sok satu download enggak bisa apa memorinya habis;telat anjir apa satpam scan pedulilindungi memori anjrit sok satu download enggak bisa apa memori habis;0
27;27;Negatif;"Trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap, pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis 1 ( tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua):""(((";trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua;['trus', 'papa', 'aku', 'malah', 'diminta', 'vaksin', 'kedua', 'padahal', 'vaksinnya', 'udah', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'aja', 'sertifitkat', 'vaksinnya', 'cuma', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'pertama', 'papa', 'aku', 'malah', 'tgl', 'dimana', 'dia', 'vaksin', 'kedua'];['papa', 'vaksin', 'vaksinnya', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'sertifitkat', 'vaksinnya', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'papa', 'tgl', 'dimana', 'vaksin'];papa vaksin vaksinnya lengkap pas cek peduli lindungi benar sertifitkat vaksinnya vaksin dosis tanggal vaksin papa tanggal dimana vaksin;papa vaksin vaksin lengkap pas cek peduli lindung benar sertifitkat vaksin vaksin dosis tanggal vaksin papa tanggal mana vaksin;0
28;28;Negatif;Trus aku coba buka app peduli lindungi punyaku, dpt notif lg suruh apdetâ¦ omg apaseeee prasaan baru kapan hari aku apdet, skrg dah disuruh apdet lagiâ¦ laposee apdet apdet terus aplikasine;trus aku coba buka app peduli lindungi punyaku dpt notif lg suruh apdet omg apaseeee prasaan baru kapan hari aku apdet skrg dah disuruh apdet lagi laposee apdet apdet terus aplikasine;['trus', 'aku', 'coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'dpt', 'notif', 'lg', 'suruh', 'apdet', 'omg', 'apaseeee', 'prasaan', 'baru', 'kapan', 'hari', 'aku', 'apdet', 'skrg', 'dah', 'disuruh', 'apdet', 'lagi', 'laposee', 'apdet', 'apdet', 'terus', 'aplikasine'];['coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'notif', 'suruh', 'apdet', 'apaseeee', 'prasaan', 'apdet', 'disuruh', 'apdet', 'laposee', 'apdet', 'apdet', 'aplikasine'];coba buka app peduli lindungi punyaku notif suruh apdet apaseeee perasaan apdet disuruh apdet laposee apdet apdet aplikasine;coba buka app peduli lindung punya notif suruh apdet apaseeee asa apdet suruh apdet laposee apdet apdet aplikasine;0
29;29;Negatif;Tp ini mslhny apk peduli lindungi gw kok gada data vaksin w sic;tp ini mslhny apk peduli lindungi gw kok gada data vaksin  sic;['tp', 'ini', 'mslhny', 'apk', 'peduli', 'lindungi', 'gw', 'kok', 'gada', 'data', 'vaksin', 'sic'];['mslhny', 'apk', 'peduli', 'lindungi', 'gada', 'data', 'vaksin', 'sic'];mslhny apk peduli lindungi enggak ada data vaksin sic;mslhny apk peduli lindung enggak ada data vaksin sic;0
30;30;Negatif;Tombol check out tanpa scan QR Code-nya sudah ngga tersedia, @PLindungi ?  https://t.co/JtjBSqDZO2;tombol check out tanpa scan qr codenya sudah ngga tersedia;['tombol', 'check', 'out', 'tanpa', 'scan', 'qr', 'codenya', 'sudah', 'ngga', 'tersedia'];['tombol', 'check', 'out', 'scan', 'qr', 'codenya', 'ngga', 'tersedia'];tombol check out scan qr codenya enggak tersedia;tombol check out scan qr codenya enggak sedia;0
31;31;Negatif;Tolonglah untuk Petugas Vaksin kalau input data yang benar &amp;tolonglah untuk petugas vaksin kalau input data yang benar amp;['tolonglah', 'untuk', 'petugas', 'vaksin', 'kalau', 'input', 'data', 'yang', 'benar', 'amp'];['tolonglah', 'petugas', 'vaksin', 'input', 'data'];tolonglah petugas vaksin input data;tolong tugas vaksin input data;0
32;32;Negatif;Tolongin ini kenapa, udah hubungi email pedulilindungi@kominfo.go.id ga ada balesan, hubungi sertifikat@pedulilindungi.id malah disuruh hubungi email yang pedulilindungi@kominfo.go.id. Tolong bantuin, aku susah masuk ke tempat umum dan transportasi umum??? @PLindungi @kemkominfo  https://t.co/Qe3AXEciFU;tolongin ini kenapa udah hubungi email pedulilindungi goid ga ada balesan hubungi sertifikat id malah disuruh hubungi email yang pedulilindungi goid tolong bantuin aku susah masuk ke tempat umum dan transportasi umum;['tolongin', 'ini', 'kenapa', 'udah', 'hubungi', 'email', 'pedulilindungi', 'goid', 'ga', 'ada', 'balesan', 'hubungi', 'sertifikat', 'id', 'malah', 'disuruh', 'hubungi', 'email', 'yang', 'pedulilindungi', 'goid', 'tolong', 'bantuin', 'aku', 'susah', 'masuk', 'ke', 'tempat', 'umum', 'dan', 'transportasi', 'umum'];['tolongin', 'hubungi', 'email', 'pedulilindungi', 'goid', 'balesan', 'hubungi', 'sertifikat', 'id', 'disuruh', 'hubungi', 'email', 'pedulilindungi', 'goid', 'tolong', 'bantuin', 'susah', 'transportasi'];tolongin hubungi email pedulilindungi goid balesan hubungi sertifikat id disuruh hubungi email pedulilindungi goid tolong bantuin susah transportasi;tolongin hubung email pedulilindungi goid balesan hubung sertifikat id suruh hubung email pedulilindungi goid tolong bantuin susah transportasi;0
33;33;Negatif;Tolong segera rubah regulasi pengambilan nomer antrian RSUD pelabuhan ratu ..karena sudah mengabaikan protokol kesehatan #dinkes #pelabuhanratu #jawabarat #pedulilindungi #ProkesKetat #gubernurjawabarat  https://t.co/sZQnLqqqs4;tolong segera rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu karena sudah mengabaikan protokol kesehatan;['tolong', 'segera', 'rubah', 'regulasi', 'pengambilan', 'nomer', 'antrian', 'rsud', 'pelabuhan', 'ratu', 'karena', 'sudah', 'mengabaikan', 'protokol', 'kesehatan'];['tolong', 'rubah', 'regulasi', 'pengambilan', 'nomer', 'antrian', 'rsud', 'pelabuhan', 'ratu', 'mengabaikan', 'protokol', 'kesehatan'];tolong rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu mengabaikan protokol kesehatan;tolong rubah regulasi ambil nomer antri rsud labuh ratu abai protokol sehat;0
34;34;Negatif;Tolong dong ini gimana caranya deh, gmail gw kaga bisa di pake sama sekali, gw mau login di pedulilindungi @gmail;tolong dong ini gimana caranya deh gmail gw kaga bisa di pake sama sekali gw mau login di pedulilindungi;['tolong', 'dong', 'ini', 'gimana', 'caranya', 'deh', 'gmail', 'gw', 'kaga', 'bisa', 'di', 'pake', 'sama', 'sekali', 'gw', 'mau', 'login', 'di', 'pedulilindungi'];['tolong', 'gmail', 'kaga', 'pake', 'login', 'pedulilindungi'];tolong gmail kagak pakai login pedulilindungi;tolong gmail kagak pakai login pedulilindungi;0
35;35;Negatif;Tiwas download aplikasi peduli lindungi Malah ora enek seng peduli blas,ð­;tiwas download aplikasi peduli lindungi malah ora enek seng peduli blas;['tiwas', 'download', 'aplikasi', 'peduli', 'lindungi', 'malah', 'ora', 'enek', 'seng', 'peduli', 'blas'];['tiwas', 'download', 'aplikasi', 'peduli', 'lindungi', 'ora', 'enek', 'peduli', 'blas'];tiwas download aplikasi peduli lindungi ora enek peduli blas;tiwas download aplikasi peduli lindung ora enek peduli blas;0
36;36;Negatif;Terus gunanya vaksin apa dong kalo pd masih takut tertular? Apa kalian ga mau kembali hidup normal, layaknya sblm covid yg ga harus selalu pake masker kemana mana, ga ada persyaratan mcm pedulilindungi, dan bisa bikin kerumunan?;terus gunanya vaksin apa dong kalo pd masih takut tertular apa kalian ga mau kembali hidup normal layaknya sblm covid yg ga harus selalu pake masker kemana mana ga ada persyaratan mcm pedulilindungi dan bisa bikin kerumunan;['terus', 'gunanya', 'vaksin', 'apa', 'dong', 'kalo', 'pd', 'masih', 'takut', 'tertular', 'apa', 'kalian', 'ga', 'mau', 'kembali', 'hidup', 'normal', 'layaknya', 'sblm', 'covid', 'yg', 'ga', 'harus', 'selalu', 'pake', 'masker', 'kemana', 'mana', 'ga', 'ada', 'persyaratan', 'mcm', 'pedulilindungi', 'dan', 'bisa', 'bikin', 'kerumunan'];['gunanya', 'vaksin', 'takut', 'tertular', 'hidup', 'normal', 'layaknya', 'covid', 'pake', 'masker', 'kemana', 'persyaratan', 'mcm', 'pedulilindungi', 'kerumunan'];gunanya vaksin takut tertular hidup normal layaknya covid pakai masker kemana persyaratan macam pedulilindungi kerumunan;guna vaksin takut tular hidup normal layak covid pakai masker mana syarat macam pedulilindungi kerumun;0
