;Value;tweet;cleaning;tweet_tokens;tweet_stopwords;normalization
15;Negatif;uninstall pedulilindungi  install pedulisetan;uninstall pedulilindungi install pedulisetan;['uninstall', 'pedulilindungi', 'install', 'pedulisetan'];['uninstall', 'pedulilindungi', 'install', 'pedulisetan'];uninstall pedulilindungi install pedulisetan
16;Negatif;uninstall pedulilindungi;uninstall pedulilindungi;['uninstall', 'pedulilindungi'];['uninstall', 'pedulilindungi'];uninstall pedulilindungi
17;Negatif;udh vaksin 2 kali tapi sertifikat yg kedua belum keluar, tolonglahhh kerjasamanya @plindungi @pedulilindungi;udh vaksin kali tapi sertifikat yg kedua belum keluar tolonglahhh kerjasamanya;['udh', 'vaksin', 'kali', 'tapi', 'sertifikat', 'yg', 'kedua', 'belum', 'keluar', 'tolonglahhh', 'kerjasamanya'];['udh', 'vaksin', 'sertifikat', 'tolonglahhh', 'kerjasamanya'];sudah vaksin sertifikat tolonglahhh kerjasamanya
18;Negatif;udh kirim email ke @plindungi soal sertifikat vaksin kedua yg belum muncul2 padahal udh vaksin dari tanggal 18 agustus. pagi ini dpt sms lgi malahan sertifikat vaksin pertama. kan yg gk ada duh sertifikat keduaaa, knpa jdi pertama lgi yg di kirimm????;udh kirim email ke soal sertifikat vaksin kedua yg belum muncul padahal udh vaksin dari tanggal agustus pagi ini dpt sms lgi malahan sertifikat vaksin pertama kan yg gk ada duh sertifikat keduaaa knpa jdi pertama lgi yg di kirimm;['udh', 'kirim', 'email', 'ke', 'soal', 'sertifikat', 'vaksin', 'kedua', 'yg', 'belum', 'muncul', 'padahal', 'udh', 'vaksin', 'dari', 'tanggal', 'agustus', 'pagi', 'ini', 'dpt', 'sms', 'lgi', 'malahan', 'sertifikat', 'vaksin', 'pertama', 'kan', 'yg', 'gk', 'ada', 'duh', 'sertifikat', 'keduaaa', 'knpa', 'jdi', 'pertama', 'lgi', 'yg', 'di', 'kirimm'];['udh', 'kirim', 'email', 'sertifikat', 'vaksin', 'muncul', 'udh', 'vaksin', 'tanggal', 'agustus', 'pagi', 'sms', 'lgi', 'sertifikat', 'vaksin', 'sertifikat', 'keduaaa', 'knpa', 'lgi', 'kirimm'];sudah kirim email sertifikat vaksin muncul sudah vaksin tanggal agustus pagi sms lagi sertifikat vaksin sertifikat keduaaa kenapa lagi kirimm
19;Negatif;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;['udh', 'gitu', 'sekarang', 'kaga', 'usah', 'tuh', 'scan', 'peduli', 'lindungi', 'lg', 'yhaaa'];['udh', 'kaga', 'scan', 'peduli', 'lindungi', 'yhaaa'];sudah kagak scan peduli lindungi ya
20;Negatif;udah pada install aplikasi pedulilindungi kan? kalau belum, buruan install gih.  soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini  #wisatajagaprokes;udah pada install aplikasi pedulilindungi kan kalau belum buruan install gih soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini;['udah', 'pada', 'install', 'aplikasi', 'pedulilindungi', 'kan', 'kalau', 'belum', 'buruan', 'install', 'gih', 'soalnya', 'kalau', 'mau', 'masuk', 'tempat', 'wisata', 'wajib', 'menggunakan', 'aplikasi', 'ini'];['install', 'aplikasi', 'pedulilindungi', 'buruan', 'install', 'wisata', 'wajib', 'aplikasi'];install aplikasi pedulilindungi buruan install wisata wajib aplikasi
21;Negatif;udah nge install peduli lindungi,tapi ko tetep aja ya ngerasa ga di peduliin;udah nge install peduli lindungitapi ko tetep aja ya ngerasa ga di peduliin;['udah', 'nge', 'install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'aja', 'ya', 'ngerasa', 'ga', 'di', 'peduliin'];['install', 'peduli', 'lindungitapi', 'ko', 'tetep', 'ngerasa', 'peduliin'];install peduli lindungitapi kok tetap merasa mempedulikan
22;Negatif;udah klaim sendiri sertifikat nya (padahal harusnya auto ke input ga sih) tapi kok status di pedulilindungi masih merah? ada sertifikat tapi status merah, lucuð­  @plindungi  https://t.co/1myvvns2vs;udah klaim sendiri sertifikat nya padahal harusnya auto ke input ga sih tapi kok status di pedulilindungi masih merah ada sertifikat tapi status merah lucu;['udah', 'klaim', 'sendiri', 'sertifikat', 'nya', 'padahal', 'harusnya', 'auto', 'ke', 'input', 'ga', 'sih', 'tapi', 'kok', 'status', 'di', 'pedulilindungi', 'masih', 'merah', 'ada', 'sertifikat', 'tapi', 'status', 'merah', 'lucu'];['klaim', 'sertifikat', 'auto', 'input', 'status', 'pedulilindungi', 'merah', 'sertifikat', 'status', 'merah', 'lucu'];klaim sertifikat auto input status pedulilindungi merah sertifikat status merah lucu
23;Negatif;udah faksin pertama astra 2 bulan yg lalu smpe skrg aku udh chek di aplikasi @plindungi kok blum ada sertifikat vaksin itu kenapa ya kira kira;udah faksin pertama astra bulan yg lalu smpe skrg aku udh chek di aplikasi kok blum ada sertifikat vaksin itu kenapa ya kira kira;['udah', 'faksin', 'pertama', 'astra', 'bulan', 'yg', 'lalu', 'smpe', 'skrg', 'aku', 'udh', 'chek', 'di', 'aplikasi', 'kok', 'blum', 'ada', 'sertifikat', 'vaksin', 'itu', 'kenapa', 'ya', 'kira', 'kira'];['faksin', 'astra', 'smpe', 'udh', 'chek', 'aplikasi', 'blum', 'sertifikat', 'vaksin'];faksin astra sampai sudah chek aplikasi belum sertifikat vaksin
24;Negatif;udah 2hr ya ini masa iya blm bisa, sistem loh ini! kecerobohan input nik vaksin, sangat merugikan pemilik nik! @plindungi;udah hr ya ini masa iya blm bisa sistem loh ini kecerobohan input nik vaksin sangat merugikan pemilik nik;['udah', 'hr', 'ya', 'ini', 'masa', 'iya', 'blm', 'bisa', 'sistem', 'loh', 'ini', 'kecerobohan', 'input', 'nik', 'vaksin', 'sangat', 'merugikan', 'pemilik', 'nik'];['sistem', 'kecerobohan', 'input', 'nik', 'vaksin', 'merugikan', 'pemilik', 'nik'];sistem kecerobohan input nik vaksin merugikan pemilik nik
25;Negatif;"uda lari-lari trs pas mau naik, pintu keretanya ketutup gara2 scan apk pedulilindungi dulu is another ""anjiiiiing"" ð";uda larilari trs pas mau naik pintu keretanya ketutup gara scan apk pedulilindungi dulu is another anjiiiiing;['uda', 'larilari', 'trs', 'pas', 'mau', 'naik', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'dulu', 'is', 'another', 'anjiiiiing'];['uda', 'larilari', 'trs', 'pas', 'pintu', 'keretanya', 'ketutup', 'gara', 'scan', 'apk', 'pedulilindungi', 'another', 'anjiiiiing'];sudah larilari terus pas pintu keretanya ketutup gara scan apk pedulilindungi another anjiiiiing
26;Negatif;trus ternyata dah telat anjirð­ pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit ð®ââï¸: sok atu download dulu ð§: gabisa pa memorinya abisð­ ð®ââï¸: ....;trus ternyata dah telat anjir pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit sok atu download dulu gabisa pa memorinya abis;['trus', 'ternyata', 'dah', 'telat', 'anjir', 'pa', 'satpam', 'minta', 'scan', 'pedulilindungi', 'pula', 'kan', 'memori', 'aing', 'ga', 'cukup', 'anjrit', 'sok', 'atu', 'download', 'dulu', 'gabisa', 'pa', 'memorinya', 'abis'];['telat', 'anjir', 'pa', 'satpam', 'scan', 'pedulilindungi', 'memori', 'anjrit', 'sok', 'atu', 'download', 'gabisa', 'pa', 'memorinya', 'abis'];telat anjir apa satpam scan pedulilindungi memori anjrit sok satu download enggak bisa apa memorinya habis
27;Negatif;"trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap, pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis 1 ( tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua):""(((";trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua;['trus', 'papa', 'aku', 'malah', 'diminta', 'vaksin', 'kedua', 'padahal', 'vaksinnya', 'udah', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'aja', 'sertifitkat', 'vaksinnya', 'cuma', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'pertama', 'papa', 'aku', 'malah', 'tgl', 'dimana', 'dia', 'vaksin', 'kedua'];['papa', 'vaksin', 'vaksinnya', 'lengkap', 'pas', 'cek', 'peduli', 'lindungi', 'bener', 'sertifitkat', 'vaksinnya', 'vaksin', 'dosis', 'tanggal', 'vaksin', 'papa', 'tgl', 'dimana', 'vaksin'];papa vaksin vaksinnya lengkap pas cek peduli lindungi benar sertifitkat vaksinnya vaksin dosis tanggal vaksin papa tanggal dimana vaksin
28;Negatif;trus aku coba buka app peduli lindungi punyaku, dpt notif lg suruh apdetâ¦ omg apaseeee prasaan baru kapan hari aku apdet, skrg dah disuruh apdet lagiâ¦ laposee apdet apdet terus aplikasine;trus aku coba buka app peduli lindungi punyaku dpt notif lg suruh apdet omg apaseeee prasaan baru kapan hari aku apdet skrg dah disuruh apdet lagi laposee apdet apdet terus aplikasine;['trus', 'aku', 'coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'dpt', 'notif', 'lg', 'suruh', 'apdet', 'omg', 'apaseeee', 'prasaan', 'baru', 'kapan', 'hari', 'aku', 'apdet', 'skrg', 'dah', 'disuruh', 'apdet', 'lagi', 'laposee', 'apdet', 'apdet', 'terus', 'aplikasine'];['coba', 'buka', 'app', 'peduli', 'lindungi', 'punyaku', 'notif', 'suruh', 'apdet', 'apaseeee', 'prasaan', 'apdet', 'disuruh', 'apdet', 'laposee', 'apdet', 'apdet', 'aplikasine'];coba buka app peduli lindungi punyaku notif suruh apdet apaseeee perasaan apdet disuruh apdet laposee apdet apdet aplikasine
29;Negatif;tp ini mslhny apk peduli lindungi gw kok gada data vaksin w sic;tp ini mslhny apk peduli lindungi gw kok gada data vaksin  sic;['tp', 'ini', 'mslhny', 'apk', 'peduli', 'lindungi', 'gw', 'kok', 'gada', 'data', 'vaksin', 'sic'];['mslhny', 'apk', 'peduli', 'lindungi', 'gada', 'data', 'vaksin', 'sic'];mslhny apk peduli lindungi enggak ada data vaksin sic
30;Negatif;tombol check out tanpa scan qr code-nya sudah ngga tersedia, @plindungi ?  https://t.co/jtjbsqdzo2;tombol check out tanpa scan qr codenya sudah ngga tersedia;['tombol', 'check', 'out', 'tanpa', 'scan', 'qr', 'codenya', 'sudah', 'ngga', 'tersedia'];['tombol', 'check', 'out', 'scan', 'qr', 'codenya', 'ngga', 'tersedia'];tombol check out scan qr codenya enggak tersedia
31;Negatif;tolonglah untuk petugas vaksin kalau input data yang benar &amp;tolonglah untuk petugas vaksin kalau input data yang benar amp;['tolonglah', 'untuk', 'petugas', 'vaksin', 'kalau', 'input', 'data', 'yang', 'benar', 'amp'];['tolonglah', 'petugas', 'vaksin', 'input', 'data'];tolonglah petugas vaksin input data
32;Negatif;tolongin ini kenapa, udah hubungi email pedulilindungi@kominfo.go.id ga ada balesan, hubungi sertifikat@pedulilindungi.id malah disuruh hubungi email yang pedulilindungi@kominfo.go.id. tolong bantuin, aku susah masuk ke tempat umum dan transportasi umum??? @plindungi @kemkominfo  https://t.co/qe3axecifu;tolongin ini kenapa udah hubungi email pedulilindungi goid ga ada balesan hubungi sertifikat id malah disuruh hubungi email yang pedulilindungi goid tolong bantuin aku susah masuk ke tempat umum dan transportasi umum;['tolongin', 'ini', 'kenapa', 'udah', 'hubungi', 'email', 'pedulilindungi', 'goid', 'ga', 'ada', 'balesan', 'hubungi', 'sertifikat', 'id', 'malah', 'disuruh', 'hubungi', 'email', 'yang', 'pedulilindungi', 'goid', 'tolong', 'bantuin', 'aku', 'susah', 'masuk', 'ke', 'tempat', 'umum', 'dan', 'transportasi', 'umum'];['tolongin', 'hubungi', 'email', 'pedulilindungi', 'goid', 'balesan', 'hubungi', 'sertifikat', 'id', 'disuruh', 'hubungi', 'email', 'pedulilindungi', 'goid', 'tolong', 'bantuin', 'susah', 'transportasi'];tolongin hubungi email pedulilindungi goid balesan hubungi sertifikat id disuruh hubungi email pedulilindungi goid tolong bantuin susah transportasi
33;Negatif;tolong segera rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu ..karena sudah mengabaikan protokol kesehatan #dinkes #pelabuhanratu #jawabarat #pedulilindungi #prokesketat #gubernurjawabarat  https://t.co/szqnlqqqs4;tolong segera rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu karena sudah mengabaikan protokol kesehatan;['tolong', 'segera', 'rubah', 'regulasi', 'pengambilan', 'nomer', 'antrian', 'rsud', 'pelabuhan', 'ratu', 'karena', 'sudah', 'mengabaikan', 'protokol', 'kesehatan'];['tolong', 'rubah', 'regulasi', 'pengambilan', 'nomer', 'antrian', 'rsud', 'pelabuhan', 'ratu', 'mengabaikan', 'protokol', 'kesehatan'];tolong rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu mengabaikan protokol kesehatan
34;Negatif;tolong dong ini gimana caranya deh, gmail gw kaga bisa di pake sama sekali, gw mau login di pedulilindungi @gmail;tolong dong ini gimana caranya deh gmail gw kaga bisa di pake sama sekali gw mau login di pedulilindungi;['tolong', 'dong', 'ini', 'gimana', 'caranya', 'deh', 'gmail', 'gw', 'kaga', 'bisa', 'di', 'pake', 'sama', 'sekali', 'gw', 'mau', 'login', 'di', 'pedulilindungi'];['tolong', 'gmail', 'kaga', 'pake', 'login', 'pedulilindungi'];tolong gmail kagak pakai login pedulilindungi
35;Negatif;tiwas download aplikasi peduli lindungi malah ora enek seng peduli blas,ð­;tiwas download aplikasi peduli lindungi malah ora enek seng peduli blas;['tiwas', 'download', 'aplikasi', 'peduli', 'lindungi', 'malah', 'ora', 'enek', 'seng', 'peduli', 'blas'];['tiwas', 'download', 'aplikasi', 'peduli', 'lindungi', 'ora', 'enek', 'peduli', 'blas'];tiwas download aplikasi peduli lindungi ora enek peduli blas
36;Negatif;terus gunanya vaksin apa dong kalo pd masih takut tertular? apa kalian ga mau kembali hidup normal, layaknya sblm covid yg ga harus selalu pake masker kemana mana, ga ada persyaratan mcm pedulilindungi, dan bisa bikin kerumunan?;terus gunanya vaksin apa dong kalo pd masih takut tertular apa kalian ga mau kembali hidup normal layaknya sblm covid yg ga harus selalu pake masker kemana mana ga ada persyaratan mcm pedulilindungi dan bisa bikin kerumunan;['terus', 'gunanya', 'vaksin', 'apa', 'dong', 'kalo', 'pd', 'masih', 'takut', 'tertular', 'apa', 'kalian', 'ga', 'mau', 'kembali', 'hidup', 'normal', 'layaknya', 'sblm', 'covid', 'yg', 'ga', 'harus', 'selalu', 'pake', 'masker', 'kemana', 'mana', 'ga', 'ada', 'persyaratan', 'mcm', 'pedulilindungi', 'dan', 'bisa', 'bikin', 'kerumunan'];['gunanya', 'vaksin', 'takut', 'tertular', 'hidup', 'normal', 'layaknya', 'covid', 'pake', 'masker', 'kemana', 'persyaratan', 'mcm', 'pedulilindungi', 'kerumunan'];gunanya vaksin takut tertular hidup normal layaknya covid pakai masker kemana persyaratan macam pedulilindungi kerumunan
37;Negatif;ternyata tidak mudah menjadi warga negara yang baik. maksud hati menuruti aturan pemerintah, apa daya terbentur mekanisme yang entah lah.... @plindungi @pedulilindungi  https://t.co/9uqzferkyu;ternyata tidak mudah menjadi warga negara yang baik maksud hati menuruti aturan pemerintah apa daya terbentur mekanisme yang entah lah;['ternyata', 'tidak', 'mudah', 'menjadi', 'warga', 'negara', 'yang', 'baik', 'maksud', 'hati', 'menuruti', 'aturan', 'pemerintah', 'apa', 'daya', 'terbentur', 'mekanisme', 'yang', 'entah', 'lah'];['mudah', 'warga', 'negara', 'hati', 'menuruti', 'aturan', 'pemerintah', 'daya', 'terbentur', 'mekanisme'];mudah warga negara hati menuruti aturan pemerintah daya terbentur mekanisme
38;Negatif;ternyata data gue belum diinput. terus mereka ngapain ngedata gue pas ditempat vaksin? kalo trnyata gak diinput? gue minta kontak untuk pengaduan tp mereka malah bilang 100% menerima dr faskes. @plindungi  https://t.co/cr1ylttq6b;ternyata data gue belum diinput terus mereka ngapain ngedata gue pas ditempat vaksin kalo trnyata gak diinput gue minta kontak untuk pengaduan tp mereka malah bilang menerima dr faskes;['ternyata', 'data', 'gue', 'belum', 'diinput', 'terus', 'mereka', 'ngapain', 'ngedata', 'gue', 'pas', 'ditempat', 'vaksin', 'kalo', 'trnyata', 'gak', 'diinput', 'gue', 'minta', 'kontak', 'untuk', 'pengaduan', 'tp', 'mereka', 'malah', 'bilang', 'menerima', 'dr', 'faskes'];['data', 'gue', 'diinput', 'ngapain', 'ngedata', 'gue', 'pas', 'ditempat', 'vaksin', 'trnyata', 'diinput', 'gue', 'kontak', 'pengaduan', 'menerima', 'faskes'];data gue diinput mengapai ngedata gue pas ditempat vaksin ternyata diinput gue kontak pengaduan menerima faskes
39;Negatif;temen yang diajak nonton malah vaksinnya gak ke deteksi di pedulilindungi, mending nontonnya besok saja lah ðð;temen yang diajak nonton malah vaksinnya gak ke deteksi di pedulilindungi mending nontonnya besok saja lah;['temen', 'yang', 'diajak', 'nonton', 'malah', 'vaksinnya', 'gak', 'ke', 'deteksi', 'di', 'pedulilindungi', 'mending', 'nontonnya', 'besok', 'saja', 'lah'];['temen', 'diajak', 'nonton', 'vaksinnya', 'deteksi', 'pedulilindungi', 'mending', 'nontonnya', 'besok'];teman diajak menonton vaksinnya deteksi pedulilindungi mending nontonnya besok
40;Negatif;telat 3 menit gara2 scan qr pedulilindungi error terus;telat menit gara scan qr pedulilindungi error terus;['telat', 'menit', 'gara', 'scan', 'qr', 'pedulilindungi', 'error', 'terus'];['telat', 'menit', 'gara', 'scan', 'qr', 'pedulilindungi', 'error'];telat menit gara scan qr pedulilindungi error
