Value;tweet
Negatif;Sudah minggu ketiga tapi sertifikat vaksin kedua anak saya belum muncul di aplikasi @PLindungi Gimana nih????
Negatif;Sudah lama imil perubahan nik yg tertukar di @PLindungi kok gak diganti2. Nik kakak tertukar dg adiknya. Diakses Yo susah.
Negatif;Sudah download Aplikasi @PLindungi dan sudah dapat balasan, Tinggal nata baju dan make up untuk persiapan rias pengantin dibeberapa tempat dan ada yang luar kota, Ntar Sueb juga to?. Okelah negara melindungi warganya namun selama pandemi Covid-19 berapa duit hasil Sueb masuk?  https://t.co/zbgOnijMrC
Negatif;Suami udah vaksin dosis 1 dari 2 minggu yg lalu. Tp sampe sekarang di cek di pedulilindungi kok data ga ditemukan.  Dari puskesmas jg ga dikasih bukti apa?? kalo udh vaksin.  Piye? ????
Negatif;staisun cikarang gajelassss bangettt, masa suruh cek peduli lindungi sama suhu aja harus turun dulu kebawah yg bisa ngabisin waktu 5-7 menit???? (turun tangga pula), gajelas bgtt kenapa ga diatas aja dah cek ek begituan
Negatif;Sorry email gue yg kedua itu ditgl 14/09/21. Lalu dibales email gue Tgl 01/10/21 diemail keempat. Trus gue minta dikirimkan lah sertifikatnya. Gue disuruh isi data foto ktp, foto ktp selfie sm kartu vaksin. Udh gue kirim itu semua. Katanya data gue blm diinput @PLindungi  https://t.co/o8YpjH3ogy
Negatif;Sore min, saya sdh vaksin tnggl 10 kemarin Ko sertifikat di plindungi ga ada yaaa? Gabisa di unduh. Mohon bantuannya???�??�? @PLindungi
Negatif;"Sore ini, gue pergi sama mama ke suatu tempat yang mengharuskan scan aplikasi Pedulilindungi. Nah, pas gue nunjukkin hasil scan gue, satpamnya bilang ""HPnya kecil amat Mba, model lama ya,"". Bisa-bisanya satpamnya HP shaming sama gue😠"
Negatif;sore admin,sy sdh vaksin bulan agustus tp sertifikat vaksinnya belum keluar,sdh telfon cs pedulilindungi katanya datanya terlongkap&amp
Negatif;Siapa yg pedulilindungi nya error kaya saya
Negatif;Sesumbar nyuruh vaksin,tpi NIK yg bermasalah blm jga kelar diperbaiki,hampir 2 bln menunggu.Gimana caranya mau vaksin?skrang apa2,kmana2 surat vaksin yg ditanya @PLindungi
Negatif;Sertifikatku kok blm muncul to min @PLindungi
Negatif;Sertifikat vaksin ke 2 belum keluar padahal udh vaksin dari bulan september hmm @PLindungi
Negatif;sertif vaksin kedua ga kluar2, udah email 5 hari lalu dibalesnya proses input data. sampe sekarang tetep masi belum kluar, cek diwebsite malah disitu tulisannya tglnya salah. trus aku nunggu sampe kapaan? udah 10 hari ini @PLindungi
Negatif;serius ini call center yg bisa dihubungi dari peduli lindungi apa yaaa? pengen keluh kesah ya Allah mau tiga bulan sertifikat ga bener-bener?!?!?!?!
Negatif;Seringkali mau ke peduli lindungi malah jadi ke app store, dan mau ke twitter malah jadi traveloka. 😅
Negatif;semoga lo pas ke mall, peduli lindungi nya error jd gabisa masuk aamin😘
Negatif;Semenjak download apk peduli lindungi, hp gue jadi sering overheat ????
Negatif;Selamat siang min @PLindungi  Min mau tanya, saya kan sudah vaksin 2x. Pas vaksin pertama sertifikat sudah ada, pas vaksin ke 2 awal bulan sampai sekarang sertifikat belum ada. Pas di cek lagi di apk PeduliLindungi, malah sertifikat vaksin yg pertama tidak tersedia. Knp ya min?
Negatif;selamat siang @PLindungi  min maaf mau nanya, mama aku tuh udah vaksin beberapa bulan lalu tapi sampe sekarang sertifikat vaksinnya masih belum ada di aplikasi peduli lindungi.
Negatif;Selamat siang  Saya ada problem dengan app pedulilindungi saya Setiap checkin selalu no allowed dgn status hitam Bisa dibantu tidak? @PLindungi
Negatif;Selamat malam.. Maaf mau bertanya. terkendala saat scan barcode di aplikasi peduli lindungi, ternyata ada kesalahan penginputan NIK pada saat vaksin. Solusinya gimana ya mba/mas admin? @KemenkesRI @PLindungi @pedulilindungi
Negatif;Selain itu ada juga yang menyatakan bahwa aplikasi pedulilindungi ini buatan singapore padahal ini murni karya anak bangsa selama pandemi ini.  https://t.co/BzHqOolcyV
Negatif;sekolah gw ribet bgt anyingg ngapain pake peduli lindungi dah
Negatif;sekarang naik @PT_Transjakarta harus lebih pagi. antrian scan @PLindungi membuat kerumunan cz cuma ada di 1 spot dan bikin telat ????
Negatif;Segera vaksin segera datang, setiap hari senin - sabtu di Gedung Serba Guna Pemalang.  @ariwibowo202 @DivHumas_Polri @poldajateng_  #vaksinakhiripandemi #vaksin #pemalang #kabarpemalang #gedungsebagunapemalang #senin #sabtu #pedulilindungi  https://t.co/MFicsEpbtY
Negatif;sebenernya di spektrum politik covid gw tuh posisinya cuma mempertanyakan efektivitas mitigasi yg byk colateral damage,efektiftivas prokes yg absurd,dasar ppkm,dll,efektivitas wajib vaksin dan pedulilindungi.Bukan di kelompok denial virus ini ada atau tidak.
Negatif;Sdf! Permisi numpang tanya, kalo mau cek sertifikat vaksin gimana ya? Ibuku udah vaksin 2x tapi pas di cek di pedulilindungi nggk ada sertifikat. Terimakasih
Negatif;"sdf! aku udh vaksin bulan agustus kemarin, tapi kok pas aku cek sertifikat nya di pedulilindungi gaada ya:"""
Negatif;Scan peduli lindungi udah bisa di gojek, grab, tokped. Uninstall aja apa ni app pedulilindunginya?
Negatif;Saya vaksin pertama tgl 13/08/21 jenis vaksinnya AZ. Di Biddokkes Polda Metro Jaya yg wktu itu diselenggarakan nya di daerah petukangan. @PLindungi tolong segera respon nya bapak ibu yg membuat peraturan smua harus vaksin atau semua harus punya sertifikat.
Negatif;saya sudah mendaftarkan dan dapat verifikasi vaksinasi yang dilakukan di Jerman (Pfizer, sudah 2x vaksin). Kenapa di App Peduli Lindungi tidak bs ada vaccination certificatenya? walau sudah ada keterangan �??Sudah Vaksin Ke-2�?� @PLindungi
Negatif;Saya sudah hubungi peduli lindungi, katanya sertifikat vaksin kedua saya belum diinput kan panitia. Mohon solusinya. Terimakasih 🙏
negatif;"Saya mencoba menjadi waega yg baik. Mau mengaktifkan aplikasi Pedulilindungi.  Notifikasi yg keluar, ""Selamat. Anda sdg ikut berpartisipasi....."", lalu Restart cellphone anda. Direstart ber-kali2, terus saja keluar notifikasi ""Restart"". Iki piye mas/mbak @PLindungi ???"
Negatif;Saya ga pernah berhasil CO di apps @PLindungi kl naik @PT_Transjakarta dari PuloGadung 2 dan turun di RSPAD.  Apakah sudah di test soal ci/co utk penumpang Jakarta? Krn saya udah sering ngalamin hal ini.  https://t.co/cQcAvNXjfa
Negatif;Sampai terakhir ini saya cek masih merah. @PLindungi @KemenkesRI  https://t.co/nic7GgzolF
Negatif;Sampai sekarang belum tau fungsi aplikasi peduli lindungi buat apa? Kecuali kaya foursquare jaman dulu cek in cek out doangan
Negatif;Sampai saat ini, saya sudah melakukan 2 kali test antigen dan hasil negatif semua. TOLONG PERBAIKI SISTEM APLIKASI KALIAN! KARENA INI SANGAT MERUGIKAN SECARA MORIL DAN MATERIL!! cc: @PLindungi
Negatif;Sama sekarang ini, soal akses pedulilindungi, katanya data kita bakal dipake utk hal2 yg gak baik.  https://t.co/HXCUfw2aJX
Negatif;Salah satu yang paling menyebalkan dari aplikasi Peduli Lindungi adalah susah sekali check-out dari lokasi.   *menggerutu
Negatif;Sad bgt VNI ga di approve smpe skrg udah 8 hari :( @KemenkesRI @PLindungi
Negatif;Riweuh ga siy pake aplikasi peduli lindungi.. seringnya ga bisa dipake, mau scan QR trus error ga bisa.. trus pas ngisi data TTL duuh harus scroll bulan aja, tahunnya ga bisa.. lahir 32 thn yg lalu, pencet lah itu 32x12 bln ????????????
Negatif;Ribed pake Aplikasi @PLindungi loading lama ,berat , buka scan barcode aja butuh 2 menit lebih   Itu aja yg kata nya area 4G signal nya  Coba pikirin kalo yg signal nya lmbat...apa ga numpuk,macet,penuh tuh shelter..  Dimana efisiensi pencegahan covid nya
Negatif;Request sertifikat vaksin luar negeri tapi di reject karna masalah bukti vaksin pertama. Padahal vaksin kedua udh lengkap. Mohon pencerahannya dong @KemenkesRI @PLindungi
Negatif;-rek klo masuk mall harus scan pedulilindungi, nah misal klo kita ga punya apk peduli atau hp kita lagi mati gimana? Bisa ta join pake hp temen?
Negatif;rada eror anjg tengah malem , mau buka gojek buat bayar ke qris malah buka peduli lindungi gblk 😭😭😭
Negatif;Pusing bgt ngurus peduli lindungi
Negatif;Plis bgt indosat sinyalnya e mulu dr kmrn. Mau checkin peduli lindungi aja gabisa. Piye ikiiiii
Negatif;Pleasee ini gimana,aku udah vaksin pertama hari rabu kemarin sampai sekaramg belum dapet sms,trus pas di cek di pedulilindungi katanya aku siap di vaksin padahal aku udah di vaksin,ini data aku belum di masukin sama pihak puskesmas nya @PLindungi
Negatif;Pertama kali semenjak ada aturan harus scan pake pedulilindungi. Dan ternyata hasil scan pun ga di cek satpam, jadi kita mau nerobos masuk pun gapapa. 😅
Negatif;Percuma download klo tetep msh pakai apk pedulilindungi 😏
Negatif;Penggunaan aplikasi PeduliLindungi di kawasan wisata yang ada di Kabupaten Ngawi, Jawa Timur, terkendala kelancaran sinyal internet, utamanya untuk daya tarik wisata di daerah pegunungan.   https://t.co/KX6X8XOFFo
Negatif;pengen nonton tapi pedulilindungi gua bermasalah
Negatif;PENGEN GANTI HP ANJENK W TADI KE CITRA LAND BUKA APP PEDULI LINDUNGI LEMOT BNGT ANJ
Negatif;Pengajuan PeduliLindungi untuk OPD dan Objek Wisata Belum Direspons  https://t.co/32g0NmfRZN
Negatif;Pemerintah prioritaskan keamanan data pribadi pada apliksasi peduli lindungi  #PPKMDemiRedakanPandemi  https://t.co/tsUy0xp6p4
Negatif;Pemerintah akan memperketat penggunaan aplikasi PeduliLindungi dan protokol kesehatan di tempat-tempat publik pada periode Natal dan Tahun Baru (Nataru). Langkah itu untuk mencegah lonjakan kasus Covid-19.  https://t.co/KggEpxzouA  https://t.co/6mwHiFpT0V
Negatif;Pedulilindungi warna item tapi gapernah kemana mana tuh kenapa si anjing gak jelas banget
Negatif;PeduliLindungi Siap Jadi Aplikasi Sapu Jagat, Siapa Diuntungkan?  https://t.co/P5S3w7ikVz
Negatif;pedulilindungi nih apa banget sih udah vaksin dosis 2 sampe meriyang sertifikat belum terbit juga, punya suami udah ada tapi punyaku bermasalah terus.
Negatif;PeduliLindungi ni gimana sih ????
Negatif;PeduliLindungi itu sebenarnya hanya untuk mencatat perjalan kita aja atau sebagai penyaring ketika masuk kedalam suatu tempat sih? Setiap kali habis scan barcode gak ada cek apakah kita Hijau, Merah, Hitam... Yah no wonder kalo banyak penderita covid yang bisa jalan2 ke mall
Negatif;pedulilindungi is a modern 4square ga sih??? obsessed bgt scan-checkin lol
Negatif;Pedulilindungi error mulu, gw mo keluar bangsatttt 😑
Negatif;Pedulilindungi aplikasi terbapuk dah ah
Negatif;Pedulilindungi aplikasi paling sampah yang pernah gw pake
Negatif;pedulilindungi aplikasi mengerikan  https://t.co/OkZfgOrcms
Negatif;Pedulilindungi aku
Negatif;Pedulilindungi aja udh ga peduli sama lu
Negatif;Peduli Lindungi, provider gembel, tai
Negatif;Peduli lindungi w drama bet
Negatif;peduli lindungi sumpah y nyusahin idup anj
Negatif;Peduli lindungi kok susah diakses knpa ya?
Negatif;Peduli lindungi kek ajg
Negatif;Peduli lindungi kayaknya udah gk guna dah
Negatif;peduli lindungi ini abisin batree loh
Negatif;Peduli lindungi gue dari bulan lalu gabisa checkin di mall jadi gue harus nunjukin kk manual. Gue coba masukin Nik kaga bisa2, taunya gabisanya cuma gara nama gue kurang nama belakang BSHSHSHS LUPA PUNYA NAMA BELAKANG PLS
Negatif;peduli lindungi gua gaje bgt ngentot
Negatif;Peduli Lindungi bisa ga ya nanti auto checkin checkout based on movement di maps gitu misal? Seenggaknya checkout soalnya suka lupa ga checkout sampe besoknya gmn tah
Negatif;Peduli lindungi aplikasi tolol
Negatif;Payah nih aplikasi @PLindungi  masa di aplikasinya udah ada sertifikat fucksin ke 2 nya tapi status fucksin gw masih yellow. Udah 2 hari jg 🤣🤣🤣  https://t.co/HteP0jso6e
Negatif;Pas vaksin dosis pertama sy slah input Nik, alias kurang satu nomor. itu gimana ya ngatasinnya ???? @PLindungi @pedulilindungi vaksin ke 2 sy jdi ketunda ???????�??��
Negatif;Pak/Buk @PLindungi saya mau lapor nih, sertifikat vaksin saya kok gak ada ya? padahal saya sudah vaksin, apa karena nomor handphone saya udah gak aktif ya? ada solusinya gak
Negatif;Paansi web peduli lindungi gak jelas amat, hayoh we masukan NIK anda masukan NIK anda, kan nggeus silaing teh kehed -_-
Negatif;OTP expired saat masuk aplikasi PeduliLindungi kini menjadi salah satu masalah yang dikeluhkan pengguna. Bunda bisa ikuti dua cara ini sebagai alternatif.  https://t.co/7wuXYjnkLU
Negatif;org klo punya kedudukan jabatan kaya gitu ya? scan peduli lindungi masuk wisata aja kadang gamau 🙏🏻
Negatif;Oiya pas kemarennya banget padahal sy dan suami tbtb di swab antigen dr puskesmas yg keliling tiap rumah dan hasilnya negatif. Bingung bgt kenapa status tbtb jadi hitam. Dan jawaban call center @PLindungi cuma nyuruh tunggu aja tanpa penjelasan yg lebih jelas atau tindak lanjut
Negatif;Not my BF, di emol HPnya abis batre terus gabisa cekin pedulilindungi. Auto pulang 🤣  https://t.co/GkZi8UGZ1l
Negatif;njir gue lupa check out pedulilindungi
Negatif;Ngerasa habis memory tapi harus punya aplikasi PeduliLindungi? Tenang aja Rekan Buana! karna PeduliLindungi bisa diakses dalam 15 aplikasi lainnya nih!???? Stay tune di #InfoTek
Negatif;Ngantuk, mau beli kopi ke sebelah kudu pake peduli lindungi. Sedangkan hp gua lemot. Mo gimana coba.
Negatif;Negara lain mengalami Gelombang Kovid ke 3 , bagaimana dgn Indonesia @kemenkes @kemenkomarves @detikcom ?  bagaimana disiplin rakyat utk Prokes Kovid ? @PLindungi @RadioElshinta
Negatif;Mulai menemukan ketidak efektifan aplikasi peduli lindungi
Negatif;Mohon untuk bantuannya @PLindungi apakah ini error atau bagaimana, karna ini SANGAT MENGGANGGU karna aplikasi ini bersifat vital penggunaannya,
Negatif;Mohon izin saya mau melaporkan terkait sertifikat vaksin ke 2 yg belum tersedia di pedulilindungi. Sebelumnya saya sudah melakukn vaksin ke 2 tgl 19 agustus 2021 di puskesmas sukamerindu di kota Bengkulu @PLindungi
Negatif;Mohon info @PLindungi  di dalam akun peduli lindungi saya terdapat nama org yg tidak saya kenali bagaimana cara menghapusnya dr akun saya?
Negatif;Mohon info @e100ss @KemenkesRI @PLindungi @pedulilindungi di apk peduli lindungi sudah tertera 'sudah vaksin pertama', namun saat cek sertif tidak ada, solusinya bagaimana?
Negatif;Mohon info @e100ss @KemenkesRI @PLindungi @pedulilindungi di apk peduli lindungi sudah tertera 'sudah vaksin pertama', namun saat cek sertif tidak ada, solusinya bagaimana?
Negatif;Mohon bantuannya min @PLindungi, Tolong min ini jadi 2 orang yg gabisa dapet sertifikat karena salah input NIK dari pihak administrasi saat vaksin
Negatif;Mohon  bantuannya @PLindungi saya sudah di vaksin dosis ke 2 pada tanggal 29 september 21 bulan lalu sampai sekarang sertifikat vaksinnya belum terbit di apk peduli lindungi.mohon bantuannya
Negatif;Min, input hasil antigen/pcr di aplikasi @PLindungi apa bnr lg error? Saya tes kmrn sore blm msk di aplikasinya. Kata kliniknya lg error nasional..
Negatif;MIN AKU MAU TANYAAA. TOLONG DIJAWAB DONG aku udah vaksin indo tapi kok pedulilindungi ku masih meraaaaah :( @PLindungi
Negatif;MIN AKU MAU TANYAAA. TOLONG DIJAWAB DONG aku udah vaksin indo tapi kok pedulilindungi ku masih meraaaaah :( @PLindungi
Negatif;Min @PLindungi sertifikat di peduli lindungi untuk vaksin ke-2 saya belom muncul,, sdngkn teman saya sama-sama tgl vaksin nya sdh muncul  Gimana min ???�???�
Negatif;Min @PLindungi bntu dong, aku gnti nomer hp, tp otp gak sampe2.. pake nomer simpati... apa kah otp ke nomer simpati bermasalah??
Negatif;Mhn info dan kejelasan status. @PLindungi @pedulilindungi saya sudah BOSTER MODERNA tgl 8 September 2021 , tp tidak masuk data sertifikat vaksin. Sudah nanya ke petugas di bag. Tmpt vaksin tp ga ada kejelasan. ( saya sudah vaksin sinovac bln maret, sertifikat ada)
Negatif;Mereka bilang proses perbaikan nya 1X24 jam, tapiiiiii pas aku udh bolak balik cek ke aplikasi @PLindungi sertifikat aku masih yg lama min padahal udh semingguan nih aku nunggu :')   Jd, tolong ya buat mimin bantu aku menghadapai masalah ini, terimakasih dan selamat malam.
Negatif;menyerah sama negara, pria ini akhirnya mengunduh aplikasi pedulilindungi
Negatif;Mau tanya, ini rapid antigen nya tidak nyambung dengan aplikasi pedulilindungi. Apakah bisa hanya membawa hardcopy?  Terima kasih @contactap2
Negatif;Mau scan peduli lindungi gak bisa minta tolong sama security.. harus ngisi nik ulang. Yaudah aku keluarin ktp di liatnya.. 'mbak tahun 99 sama seumuran saya🙂' lah sempat2nya dia liat tahun lahir aku🙃  https://t.co/y5cG4F5Tca
Negatif;Mau pesan tiket Ferry dengan aplikasi  Ferizy tapi dibilang belum vaksin.  Padahal saya sudah 2x vaksin.  Apakah ada masalah dengan @pedulilindungi @PLindungi ?
Negatif;Mau ngomel kek gimanapun krn data vaksin gak keluar di peduli lindungi ya tetep aja krosceknya ke faskes ybs. Cuma sayang aja coba telp faskesnya malah diomelin duluan. Diminta lapor 119. Udah dibilang lapor via telp, email, sama cek di web gak percaya. ????
Negatif;Mau nanya @PLindungi kenapa apk saya gak bisa login ya?  Kalo di web bisa² aja nya.  Gimana caranya ya?  https://t.co/W2uVhaK4gW
Negatif;mau login app peduli lindungi kok ga bisa ngirim kode otp baik via sms maupun email? kenapa ini ta @PLindungi @pedulilindungi
Negatif;Mau ekonomi bangkit? Singkirkan PCR dan @PLindungi
Negatif;Masih gangerti kenapa sertifikat vaksin ke 2 belum muncul, padahal udah email segala macem. Anda ini maunya apa si hey @PLindungi
Negatif;masi penasaran kenapa di akun peduli lindungi gue bagian sertif vaksinnya ada 2 nama lain ya? itu nama keluarga gue yg barengan pas vaksin. Ada yg begini juga?  https://t.co/fj826iwPi5
Negatif;Masalahnya mungkin bukan dr pihak Puskesmas atau pihk penyelnggsra vaksinasi, tp dari pesertanya sendiri. Mungkin sdh bisa donlot sertifikat dari Peduli Lindungi, kertas itu dibuang saja tanpa disobek-sobek atau dimusnahkan. Krn suka juga ada ijazah atau KK jadi kertas pembungkus
Negatif;Mamah saya sudah selesai vaksin. Tapi giliran saya cari tiket vaksinya kok tidak ditemukan?   Tolong kak bantuannya @PLindungi
Negatif;Males banget kudu scan pake peduli lindungi. Sumpah. Pake kartu sertifikat aja ngapa sih. Yang gampang. Kagak perlu pake HP.  https://t.co/gxmmATg3Ea
Negatif;Malam min, saya sdh vaksin kedua dari tgl 13 Okt, tapi sertifikat vaksin kedua saya di aplikasi keterangannya masih blm tersedia. Saya sdh email CS Pedulilindungi tgl 18 Okt, tp sampai hari ini sertifikat vaksin kedua saya masih blm tersedia jg. Terus gimana ya min? @PLindungi
Negatif;Malam min @PLindungi mau tanya, status saya merah padahal saya sudah vaksin, sertifikat juga ada, riwayat vaksin juga ada. Kenapa kok bisa gitu min? Akibatnya saya tidak bisa akses kemanapun. Saya email 3x juga dijawab oleh sistem saja. Mohon respon.
Negatif;MALAH UPDATE TAPI SERTIFKU GA DI UPDATE @PLindungi  https://t.co/bjlKZrDjOE
Negatif;Lu ikut ormawa, ikut hima, bem, acara peduli lindungi bukan urusan gue. Itu kerjaan kelompok kerjain taiii, beban.
Negatif;layanan peduli lindungi bapuk banget asli 👎🏻
Negatif;Lapor Pak/Bu @kemkominfo @KemenkesRI @PLindungi @CCICPolri ada yang mau phising nih pake embel-embel PeduliLindungi ????  Mohon ditindak Pak/Bu, sebelum banyak korban.  https://t.co/3YfCeuyR7Z
