;Value;tweet;cleaning
26;Negatif;trus ternyata dah telat anjirð­ pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit ð®ââï¸: sok atu download dulu ð§: gabisa pa memorinya abisð­ ð®ââï¸: ....;trus ternyata dah telat anjir pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit sok atu download dulu gabisa pa memorinya abis
27;Negatif;"Trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap, pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis 1 ( tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua):""(((";trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua
28;Negatif;Trus aku coba buka app peduli lindungi punyaku, dpt notif lg suruh apdetâ¦ omg apaseeee prasaan baru kapan hari aku apdet, skrg dah disuruh apdet lagiâ¦ laposee apdet apdet terus aplikasine;trus aku coba buka app peduli lindungi punyaku dpt notif lg suruh apdet omg apaseeee prasaan baru kapan hari aku apdet skrg dah disuruh apdet lagi laposee apdet apdet terus aplikasine
29;Negatif;Tp ini mslhny apk peduli lindungi gw kok gada data vaksin w sic;tp ini mslhny apk peduli lindungi gw kok gada data vaksin  sic
30;Negatif;Tombol check out tanpa scan QR Code-nya sudah ngga tersedia, @PLindungi ?  https://t.co/JtjBSqDZO2;tombol check out tanpa scan qr codenya sudah ngga tersedia
31;Negatif;Tolonglah untuk Petugas Vaksin kalau input data yang benar &amp;tolonglah untuk petugas vaksin kalau input data yang benar amp
32;Negatif;Tolongin ini kenapa, udah hubungi email pedulilindungi@kominfo.go.id ga ada balesan, hubungi sertifikat@pedulilindungi.id malah disuruh hubungi email yang pedulilindungi@kominfo.go.id. Tolong bantuin, aku susah masuk ke tempat umum dan transportasi umum??? @PLindungi @kemkominfo  https://t.co/Qe3AXEciFU;tolongin ini kenapa udah hubungi email pedulilindungi goid ga ada balesan hubungi sertifikat id malah disuruh hubungi email yang pedulilindungi goid tolong bantuin aku susah masuk ke tempat umum dan transportasi umum
33;Negatif;Tolong segera rubah regulasi pengambilan nomer antrian RSUD pelabuhan ratu ..karena sudah mengabaikan protokol kesehatan #dinkes #pelabuhanratu #jawabarat #pedulilindungi #ProkesKetat #gubernurjawabarat  https://t.co/sZQnLqqqs4;tolong segera rubah regulasi pengambilan nomer antrian rsud pelabuhan ratu karena sudah mengabaikan protokol kesehatan
34;Negatif;Tolong dong ini gimana caranya deh, gmail gw kaga bisa di pake sama sekali, gw mau login di pedulilindungi @gmail;tolong dong ini gimana caranya deh gmail gw kaga bisa di pake sama sekali gw mau login di pedulilindungi
35;Negatif;Tiwas download aplikasi peduli lindungi Malah ora enek seng peduli blas,ð­;tiwas download aplikasi peduli lindungi malah ora enek seng peduli blas
36;Negatif;Terus gunanya vaksin apa dong kalo pd masih takut tertular? Apa kalian ga mau kembali hidup normal, layaknya sblm covid yg ga harus selalu pake masker kemana mana, ga ada persyaratan mcm pedulilindungi, dan bisa bikin kerumunan?;terus gunanya vaksin apa dong kalo pd masih takut tertular apa kalian ga mau kembali hidup normal layaknya sblm covid yg ga harus selalu pake masker kemana mana ga ada persyaratan mcm pedulilindungi dan bisa bikin kerumunan
37;Negatif;Ternyata tidak mudah menjadi warga negara yang baik. Maksud hati menuruti aturan pemerintah, apa daya terbentur mekanisme yang entah lah.... @PLindungi @pedulilindungi  https://t.co/9uQZFErkYU;ternyata tidak mudah menjadi warga negara yang baik maksud hati menuruti aturan pemerintah apa daya terbentur mekanisme yang entah lah
38;Negatif;Ternyata data gue belum diinput. Terus mereka ngapain ngedata gue pas ditempat vaksin? Kalo trnyata gak diinput? Gue minta kontak untuk pengaduan tp mereka malah bilang 100% menerima dr faskes. @PLindungi  https://t.co/cr1yLTtQ6B;ternyata data gue belum diinput terus mereka ngapain ngedata gue pas ditempat vaksin kalo trnyata gak diinput gue minta kontak untuk pengaduan tp mereka malah bilang menerima dr faskes
39;Negatif;Temen yang diajak nonton malah vaksinnya gak ke deteksi di PeduliLindungi, mending nontonnya besok saja lah ðð;temen yang diajak nonton malah vaksinnya gak ke deteksi di pedulilindungi mending nontonnya besok saja lah
40;Negatif;Telat 3 menit gara2 scan qr pedulilindungi error terus;telat menit gara scan qr pedulilindungi error terus
41;Negatif;Tanyarl, hi! Ada yg sertifikal v4ks1n nya salah nama ga? Aku mau ajuin v4ks1n ke 2 gagal mulu di peduli lindungi karna nama, masa harus ditypoin? ð­ harus gimana ya? Pls help me guys ð­ðð»  https://t.co/RLYcAAS7ZS;tanyarl hi ada yg sertifikal vksn nya salah nama ga aku mau ajuin vksn ke gagal mulu di peduli lindungi karna nama masa harus ditypoin harus gimana ya pls help me guys
42;Negatif;Tanyarl kan aku mau vaksieen ke-2 tp gada kertas vaksien nya, terus aku coba di peduli lindungi tapi nik nya gak valid. Itu kira2 kenapa yaaa???  https://t.co/B5q9VID7f0;tanyarl kan aku mau vaksieen ke tp gada kertas vaksien nya terus aku coba di peduli lindungi tapi nik nya gak valid itu kira kenapa yaaa
43;Negatif;Tai lah udah buru buru ke rumah sakit end up nya di prank sama @pedulilindungi @KemenkesRI astra zeneca 3 bulan blok.  https://t.co/QBK8WDtowm;tai lah udah buru buru ke rumah sakit end up nya di prank sama astra zeneca bulan blok
44;Negatif;tadi siang mau bukak peduli lindungi malah bukak kita bisa , tolol bgt asli;tadi siang mau bukak peduli lindungi malah bukak kita bisa tolol bgt asli
45;Negatif;Syg! Paksin dosis pertama dan kedua tuh harus ditempat yang sama apa bisa di beda tmpt? Soalnya aku dosis 1nya di cirebon,trs skrg ngerantau ke garut, untk dosis 2 di pedulilindungi hrsnya di crbn,tp kalo pulang hanya utk paksin kan gmn ya capek dijalanð­ wahyu;syg paksin dosis pertama dan kedua tuh harus ditempat yang sama apa bisa di beda tmpt soalnya aku dosis nya di cirebontrs skrg ngerantau ke garut untk dosis di pedulilindungi hrsnya di crbntp kalo pulang hanya utk paksin kan gmn ya capek dijalan wahyu
46;Negatif;syg! kenapa status vaksinasi aku merah ya? padahal udah vaksin dan ada sertifnya di peduli lindungi  https://t.co/0Qqt1nB3dG;syg kenapa status vaksinasi aku merah ya padahal udah vaksin dan ada sertifnya di peduli lindungi
47;Negatif;Susah amat ini cuma daftar QR Code @PLindungi . Coba daftar via email, dibales 1 bulan kemudian dengan reply link untuk regist. Oke.. Giliran dicoba link tsb, setelah diisi dapat info bhw akan dapat reply konfirmasi 1 x 24 jam, ini udah mau 3 hari belum ada balesan @ditpromkes;susah amat ini cuma daftar qr code coba daftar via email dibales bulan kemudian dengan reply link untuk regist oke giliran dicoba link tsb setelah diisi dapat info bhw akan dapat reply konfirmasi  jam ini udah mau hari belum ada balesan
48;Negatif;Suka bingung sama aturan dari @PT_Transjakarta sebenernya wajib gak sich scan barcode di peduli lindungi???berapa kali w nemu penumpang di halte transjakarta halimun gak scanbarcode di bolehin masuk sama petugasnya....cobalah klo bikin aruran dilaksanakan;suka bingung sama aturan dari transjakarta sebenernya wajib gak sich scan barcode di peduli lindungiberapa kali  nemu penumpang di halte transjakarta halimun gak scanbarcode di bolehin masuk sama petugasnyacobalah klo bikin aruran dilaksanakan
49;Negatif;Sudah minggu ketiga tapi sertifikat vaksin kedua anak saya belum muncul di aplikasi @PLindungi Gimana nih????;sudah minggu ketiga tapi sertifikat vaksin kedua anak saya belum muncul di aplikasi gimana nih
50;Negatif;Sudah lama imil perubahan nik yg tertukar di @PLindungi kok gak diganti2. Nik kakak tertukar dg adiknya. Diakses Yo susah.;sudah lama imil perubahan nik yg tertukar di kok gak diganti nik kakak tertukar dg adiknya diakses yo susah
51;Negatif;Sudah download Aplikasi @PLindungi dan sudah dapat balasan, Tinggal nata baju dan make up untuk persiapan rias pengantin dibeberapa tempat dan ada yang luar kota, Ntar Sueb juga to?. Okelah negara melindungi warganya namun selama pandemi Covid-19 berapa duit hasil Sueb masuk?  https://t.co/zbgOnijMrC;sudah download aplikasi dan sudah dapat balasan tinggal nata baju dan make up untuk persiapan rias pengantin dibeberapa tempat dan ada yang luar kota ntar sueb juga to okelah negara melindungi warganya namun selama pandemi covid berapa duit hasil sueb masuk
52;Negatif;Suami udah vaksin dosis 1 dari 2 minggu yg lalu. Tp sampe sekarang di cek di pedulilindungi kok data ga ditemukan.  Dari puskesmas jg ga dikasih bukti apa?? kalo udh vaksin.  Piye? ????;suami udah vaksin dosis dari minggu yg lalu tp sampe sekarang di cek di pedulilindungi kok data ga ditemukan dari puskesmas jg ga dikasih bukti apa kalo udh vaksin piye
53;Negatif;staisun cikarang gajelassss bangettt, masa suruh cek peduli lindungi sama suhu aja harus turun dulu kebawah yg bisa ngabisin waktu 5-7 menit???? (turun tangga pula), gajelas bgtt kenapa ga diatas aja dah cek ek begituan;staisun cikarang gajelassss bangettt masa suruh cek peduli lindungi sama suhu aja harus turun dulu kebawah yg bisa ngabisin waktu menit turun tangga pula gajelas bgtt kenapa ga diatas aja dah cek ek begituan
54;Negatif;Sorry email gue yg kedua itu ditgl 14/09/21. Lalu dibales email gue Tgl 01/10/21 diemail keempat. Trus gue minta dikirimkan lah sertifikatnya. Gue disuruh isi data foto ktp, foto ktp selfie sm kartu vaksin. Udh gue kirim itu semua. Katanya data gue blm diinput @PLindungi  https://t.co/o8YpjH3ogy;sorry email gue yg kedua itu ditgl lalu dibales email gue tgl diemail keempat trus gue minta dikirimkan lah sertifikatnya gue disuruh isi data foto ktp foto ktp selfie sm kartu vaksin udh gue kirim itu semua katanya data gue blm diinput
55;Negatif;Sore min, saya sdh vaksin tnggl 10 kemarin Ko sertifikat di plindungi ga ada yaaa? Gabisa di unduh. Mohon bantuannya?????? @PLindungi;sore min saya sdh vaksin tnggl kemarin ko sertifikat di plindungi ga ada yaaa gabisa di unduh mohon bantuannya
56;Negatif;"Sore ini, gue pergi sama mama ke suatu tempat yang mengharuskan scan aplikasi Pedulilindungi. Nah, pas gue nunjukkin hasil scan gue, satpamnya bilang ""HPnya kecil amat Mba, model lama ya,"". Bisa-bisanya satpamnya HP shaming sama gueð ";sore ini gue pergi sama mama ke suatu tempat yang mengharuskan scan aplikasi pedulilindungi nah pas gue nunjukkin hasil scan gue satpamnya bilang hpnya kecil amat mba model lama ya bisabisanya satpamnya hp shaming sama gue
57;Negatif;sore admin,sy sdh vaksin bulan agustus tp sertifikat vaksinnya belum keluar,sdh telfon cs pedulilindungi katanya datanya terlongkap&amp;sore adminsy sdh vaksin bulan agustus tp sertifikat vaksinnya belum keluarsdh telfon cs pedulilindungi katanya datanya terlongkapamp
58;Negatif;Siapa yg pedulilindungi nya error kaya saya;siapa yg pedulilindungi nya error kaya saya
59;Negatif;Sesumbar nyuruh vaksin,tpi NIK yg bermasalah blm jga kelar diperbaiki,hampir 2 bln menunggu.Gimana caranya mau vaksin?skrang apa2,kmana2 surat vaksin yg ditanya @PLindungi;sesumbar nyuruh vaksintpi nik yg bermasalah blm jga kelar diperbaikihampir bln menunggugimana caranya mau vaksinskrang apakmana surat vaksin yg ditanya
60;Negatif;Sertifikatku kok blm muncul to min @PLindungi;sertifikatku kok blm muncul to min
61;Negatif;Sertifikat vaksin ke 2 belum keluar padahal udh vaksin dari bulan september hmm @PLindungi;sertifikat vaksin ke belum keluar padahal udh vaksin dari bulan september hmm
62;Negatif;sertif vaksin kedua ga kluar2, udah email 5 hari lalu dibalesnya proses input data. sampe sekarang tetep masi belum kluar, cek diwebsite malah disitu tulisannya tglnya salah. trus aku nunggu sampe kapaan? udah 10 hari ini @PLindungi;sertif vaksin kedua ga kluar udah email hari lalu dibalesnya proses input data sampe sekarang tetep masi belum kluar cek diwebsite malah disitu tulisannya tglnya salah trus aku nunggu sampe kapaan udah hari ini
63;Negatif;serius ini call center yg bisa dihubungi dari peduli lindungi apa yaaa? pengen keluh kesah ya Allah mau tiga bulan sertifikat ga bener-bener?!?!?!?!;serius ini call center yg bisa dihubungi dari peduli lindungi apa yaaa pengen keluh kesah ya allah mau tiga bulan sertifikat ga benerbener
64;Negatif;Seringkali mau ke peduli lindungi malah jadi ke app store, dan mau ke twitter malah jadi traveloka. ð;seringkali mau ke peduli lindungi malah jadi ke app store dan mau ke twitter malah jadi traveloka
65;Negatif;semoga lo pas ke mall, peduli lindungi nya error jd gabisa masuk aaminð;semoga lo pas ke mall peduli lindungi nya error jd gabisa masuk aamin
66;Negatif;Semenjak download apk peduli lindungi, hp gue jadi sering overheat ????;semenjak download apk peduli lindungi hp gue jadi sering overheat
67;Negatif;Selamat siang min @PLindungi  Min mau tanya, saya kan sudah vaksin 2x. Pas vaksin pertama sertifikat sudah ada, pas vaksin ke 2 awal bulan sampai sekarang sertifikat belum ada. Pas di cek lagi di apk PeduliLindungi, malah sertifikat vaksin yg pertama tidak tersedia. Knp ya min?;selamat siang min min mau tanya saya kan sudah vaksin  pas vaksin pertama sertifikat sudah ada pas vaksin ke awal bulan sampai sekarang sertifikat belum ada pas di cek lagi di apk pedulilindungi malah sertifikat vaksin yg pertama tidak tersedia knp ya min
68;Negatif;selamat siang @PLindungi  min maaf mau nanya, mama aku tuh udah vaksin beberapa bulan lalu tapi sampe sekarang sertifikat vaksinnya masih belum ada di aplikasi peduli lindungi.;selamat siang min maaf mau nanya mama aku tuh udah vaksin beberapa bulan lalu tapi sampe sekarang sertifikat vaksinnya masih belum ada di aplikasi peduli lindungi
69;Negatif;Selamat siang  Saya ada problem dengan app pedulilindungi saya Setiap checkin selalu no allowed dgn status hitam Bisa dibantu tidak? @PLindungi;selamat siang saya ada problem dengan app pedulilindungi saya setiap checkin selalu no allowed dgn status hitam bisa dibantu tidak
70;Negatif;Selamat malam.. Maaf mau bertanya. terkendala saat scan barcode di aplikasi peduli lindungi, ternyata ada kesalahan penginputan NIK pada saat vaksin. Solusinya gimana ya mba/mas admin? @KemenkesRI @PLindungi @pedulilindungi;selamat malam maaf mau bertanya terkendala saat scan barcode di aplikasi peduli lindungi ternyata ada kesalahan penginputan nik pada saat vaksin solusinya gimana ya mbamas admin
71;Negatif;Selain itu ada juga yang menyatakan bahwa aplikasi pedulilindungi ini buatan singapore padahal ini murni karya anak bangsa selama pandemi ini.  https://t.co/BzHqOolcyV;selain itu ada juga yang menyatakan bahwa aplikasi pedulilindungi ini buatan singapore padahal ini murni karya anak bangsa selama pandemi ini
72;Negatif;sekolah gw ribet bgt anyingg ngapain pake peduli lindungi dah;sekolah gw ribet bgt anyingg ngapain pake peduli lindungi dah
73;Negatif;sekarang naik @PT_Transjakarta harus lebih pagi. antrian scan @PLindungi membuat kerumunan cz cuma ada di 1 spot dan bikin telat ????;sekarang naik transjakarta harus lebih pagi antrian scan membuat kerumunan cz cuma ada di spot dan bikin telat
74;Negatif;Segera vaksin segera datang, setiap hari senin - sabtu di Gedung Serba Guna Pemalang.  @ariwibowo202 @DivHumas_Polri @poldajateng_  #vaksinakhiripandemi #vaksin #pemalang #kabarpemalang #gedungsebagunapemalang #senin #sabtu #pedulilindungi  https://t.co/MFicsEpbtY;segera vaksin segera datang setiap hari senin sabtu di gedung serba guna pemalang polri
75;Negatif;sebenernya di spektrum politik covid gw tuh posisinya cuma mempertanyakan efektivitas mitigasi yg byk colateral damage,efektiftivas prokes yg absurd,dasar ppkm,dll,efektivitas wajib vaksin dan pedulilindungi.Bukan di kelompok denial virus ini ada atau tidak.;sebenernya di spektrum politik covid gw tuh posisinya cuma mempertanyakan efektivitas mitigasi yg byk colateral damageefektiftivas prokes yg absurddasar ppkmdllefektivitas wajib vaksin dan pedulilindungibukan di kelompok denial virus ini ada atau tidak
76;Negatif;Sdf! Permisi numpang tanya, kalo mau cek sertifikat vaksin gimana ya? Ibuku udah vaksin 2x tapi pas di cek di pedulilindungi nggk ada sertifikat. Terimakasih;sdf permisi numpang tanya kalo mau cek sertifikat vaksin gimana ya ibuku udah vaksin  tapi pas di cek di pedulilindungi nggk ada sertifikat terimakasih
77;Negatif;"sdf! aku udh vaksin bulan agustus kemarin, tapi kok pas aku cek sertifikat nya di pedulilindungi gaada ya:""";sdf aku udh vaksin bulan agustus kemarin tapi kok pas aku cek sertifikat nya di pedulilindungi gaada ya
78;Negatif;Scan peduli lindungi udah bisa di gojek, grab, tokped. Uninstall aja apa ni app pedulilindunginya?;scan peduli lindungi udah bisa di gojek grab tokped uninstall aja apa ni app pedulilindunginya
79;Negatif;Saya vaksin pertama tgl 13/08/21 jenis vaksinnya AZ. Di Biddokkes Polda Metro Jaya yg wktu itu diselenggarakan nya di daerah petukangan. @PLindungi tolong segera respon nya bapak ibu yg membuat peraturan smua harus vaksin atau semua harus punya sertifikat.;saya vaksin pertama tgl jenis vaksinnya az di biddokkes polda metro jaya yg wktu itu diselenggarakan nya di daerah petukangan tolong segera respon nya bapak ibu yg membuat peraturan smua harus vaksin atau semua harus punya sertifikat
80;Negatif;saya sudah mendaftarkan dan dapat verifikasi vaksinasi yang dilakukan di Jerman (Pfizer, sudah 2x vaksin). Kenapa di App Peduli Lindungi tidak bs ada vaccination certificatenya? walau sudah ada keterangan ??Sudah Vaksin Ke-2? @PLindungi;saya sudah mendaftarkan dan dapat verifikasi vaksinasi yang dilakukan di jerman pfizer sudah  vaksin kenapa di app peduli lindungi tidak bs ada vaccination certificatenya walau sudah ada keterangan sudah vaksin ke
81;Negatif;Saya sudah hubungi peduli lindungi, katanya sertifikat vaksin kedua saya belum diinput kan panitia. Mohon solusinya. Terimakasih ð;saya sudah hubungi peduli lindungi katanya sertifikat vaksin kedua saya belum diinput kan panitia mohon solusinya terimakasih
82;negatif;"Saya mencoba menjadi waega yg baik. Mau mengaktifkan aplikasi Pedulilindungi.  Notifikasi yg keluar, ""Selamat. Anda sdg ikut berpartisipasi....."", lalu Restart cellphone anda. Direstart ber-kali2, terus saja keluar notifikasi ""Restart"". Iki piye mas/mbak @PLindungi ???";saya mencoba menjadi waega yg baik mau mengaktifkan aplikasi pedulilindungi notifikasi yg keluar selamat anda sdg ikut berpartisipasi lalu restart cellphone anda direstart berkali terus saja keluar notifikasi restart iki piye masmbak
83;Negatif;Saya ga pernah berhasil CO di apps @PLindungi kl naik @PT_Transjakarta dari PuloGadung 2 dan turun di RSPAD.  Apakah sudah di test soal ci/co utk penumpang Jakarta? Krn saya udah sering ngalamin hal ini.  https://t.co/cQcAvNXjfa;saya ga pernah berhasil co di apps kl naik transjakarta dari pulogadung dan turun di rspad apakah sudah di test soal cico utk penumpang jakarta krn saya udah sering ngalamin hal ini
84;Negatif;Sampai terakhir ini saya cek masih merah. @PLindungi @KemenkesRI  https://t.co/nic7GgzolF;sampai terakhir ini saya cek masih merah
85;Negatif;Sampai sekarang belum tau fungsi aplikasi peduli lindungi buat apa? Kecuali kaya foursquare jaman dulu cek in cek out doangan;sampai sekarang belum tau fungsi aplikasi peduli lindungi buat apa kecuali kaya foursquare jaman dulu cek in cek out doangan
86;Negatif;Sampai saat ini, saya sudah melakukan 2 kali test antigen dan hasil negatif semua. TOLONG PERBAIKI SISTEM APLIKASI KALIAN! KARENA INI SANGAT MERUGIKAN SECARA MORIL DAN MATERIL!! cc: @PLindungi;sampai saat ini saya sudah melakukan kali test antigen dan hasil negatif semua tolong perbaiki sistem aplikasi kalian karena ini sangat merugikan secara moril dan materil cc
87;Negatif;Sama sekarang ini, soal akses pedulilindungi, katanya data kita bakal dipake utk hal2 yg gak baik.  https://t.co/HXCUfw2aJX;sama sekarang ini soal akses pedulilindungi katanya data kita bakal dipake utk hal yg gak baik
88;Negatif;Salah satu yang paling menyebalkan dari aplikasi Peduli Lindungi adalah susah sekali check-out dari lokasi.   *menggerutu;salah satu yang paling menyebalkan dari aplikasi peduli lindungi adalah susah sekali checkout dari lokasi menggerutu
89;Negatif;Sad bgt VNI ga di approve smpe skrg udah 8 hari :( @KemenkesRI @PLindungi;sad bgt vni ga di approve smpe skrg udah hari
90;Negatif;Riweuh ga siy pake aplikasi peduli lindungi.. seringnya ga bisa dipake, mau scan QR trus error ga bisa.. trus pas ngisi data TTL duuh harus scroll bulan aja, tahunnya ga bisa.. lahir 32 thn yg lalu, pencet lah itu 32x12 bln ????????????;riweuh ga siy pake aplikasi peduli lindungi seringnya ga bisa dipake mau scan qr trus error ga bisa trus pas ngisi data ttl duuh harus scroll bulan aja tahunnya ga bisa lahir thn yg lalu pencet lah itu  bln
91;Negatif;Ribed pake Aplikasi @PLindungi loading lama ,berat , buka scan barcode aja butuh 2 menit lebih   Itu aja yg kata nya area 4G signal nya  Coba pikirin kalo yg signal nya lmbat...apa ga numpuk,macet,penuh tuh shelter..  Dimana efisiensi pencegahan covid nya;ribed pake aplikasi loading lama berat buka scan barcode aja butuh menit lebih itu aja yg kata nya area  signal nya coba pikirin kalo yg signal nya lmbatapa ga numpukmacetpenuh tuh shelter dimana efisiensi pencegahan covid nya
92;Negatif;Request sertifikat vaksin luar negeri tapi di reject karna masalah bukti vaksin pertama. Padahal vaksin kedua udh lengkap. Mohon pencerahannya dong @KemenkesRI @PLindungi;request sertifikat vaksin luar negeri tapi di reject karna masalah bukti vaksin pertama padahal vaksin kedua udh lengkap mohon pencerahannya dong
